"Hospital_ID";"First_Name";"Last_Name";"Middle_Initial";"DOB";"Street_Number";"Street_Name";"Apt_Number";"City";"State_ID";"Zipcode";"Email";"Phone_Number";"Sex";"Ethnicity";"Created_At";"Last_Updated"
129;"Cercei";"Lannister";"";"1990-10-24";1553;"Augue Rd.";0;"West Valley City";46;23674;"doc29@gmail.com";"587577181";"female";"African American";"2019-04-23 16:19:56";"0000-00-00 00:00:00"
130;"Bran";"Stark";"P";"1991-11-25";5803;"Nisl Avenue";0;"Los Angeles";48;17473;"doc30@gmail.com";"329091091";"male";"White";"2019-04-23 16:19:56";"0000-00-00 00:00:00"
131;"Margot";"Robbie";"";"1992-12-26";147;"Nunc St.";0;"West Valley City";46;97571;"doc31@gmail.com";"177557863";"female";"Others";"2019-04-23 16:19:57";"0000-00-00 00:00:00"
132;"Jamie";"Fox";"";"1993-01-27";1014;"Nullam Av.";0;"Boise";13;21459;"doc32@gmail.com";"123555063";"male";"Others";"2019-04-23 16:19:58";"0000-00-00 00:00:00"
133;"Cameron";"Diaz";"";"1994-02-28";4912;"Sed Street";0;"Miami";10;98725;"doc33@gmail.com";"592589846";"female";"Native American";"2019-04-23 16:19:59";"0000-00-00 00:00:00"
134;"Bradley ";"Cooper";"";"1995-03-29";6975;"Mollis. Street";0;"West Valley City";46;74580;"doc34@gmail.com";"348650652";"male";"";"2019-04-23 16:20:00";"0000-00-00 00:00:00"
135;"Jenniffer";"Lawrence";"C";"1996-04-30";3533;"Ut St.";0;"St.Cloud";24;50761;"doc35@gmail.com";"180894855";"female";"White";"2019-04-23 16:20:01";"0000-00-00 00:00:00"
136;"Chris";"Evans";"";"1950-05-01";2545;"Sagittis. Rd.";0;"Miami";10;85741;"doc36@gmail.com";"332553460";"male";"Asian";"2019-04-23 16:20:02";"0000-00-00 00:00:00"
137;"Scarllet";"Johanson";"";"1951-06-02";3483;"Auctor, Road";0;"Miami";10;83944;"doc37@gmail.com";"135104924";"female";"Asian";"2019-04-23 16:20:03";"0000-00-00 00:00:00"
138;"Johnny";"Depp";"";"1952-07-03";7187;"Luctus Street";0;"Boise";13;42139;"doc38@gmail.com";"533933862";"male";"African American";"2019-04-23 16:20:04";"0000-00-00 00:00:00"
139;"Sylvia";"Vazquez";"";"1953-08-04";7657;"Convallis St.";0;"St.Cloud";24;17047;"doc39@gmail.com";"779995542";"female";"Asian";"2019-04-23 16:20:05";"0000-00-00 00:00:00"
140;"Howard";"Stark";"N";"1954-09-05";4390;"Nonummy Av.";0;"Miami";10;21949;"doc40@gmail.com";"263228960";"male";"White";"2019-04-23 16:20:06";"0000-00-00 00:00:00"
141;"Ellie";"Goulding";"";"1955-10-06";2404;"Egestas, Rd.";0;"Boise";13;26540;"doc41@gmail.com";"221786635";"female";"African American";"2019-04-23 16:20:07";"0000-00-00 00:00:00"
142;"Tom";"Hanks";"M";"1956-11-07";1927;"At Ave";0;"Miami";10;17805;"doc42@gmail.com";"271340024";"male";"Others";"2019-04-23 16:20:08";"0000-00-00 00:00:00"
143;"Emma";"Watson";"";"1957-12-08";2283;"Fusce Rd.";0;"Los Angeles";5;19943;"doc43@gmail.com";"913181366";"female";"Others";"2019-04-23 16:20:09";"0000-00-00 00:00:00"
144;"Leonardo";"DiCaprio";"D";"1958-01-09";9980;"Elementum, Avenue";0;"Los Angeles";5;31611;"doc44@gmail.com";"137392787";"male";"African American";"2019-04-23 16:20:10";"0000-00-00 00:00:00"
145;"Natalie";"Portman";"";"1959-02-10";4348;"Elit Road";0;"West Valley City";46;30044;"doc45@gmail.com";"340657340";"female";"";"2019-04-23 16:20:11";"0000-00-00 00:00:00"
146;"Robert";"Downey";"J";"1960-03-11";6909;"A, Rd.";0;"Houston";45;79989;"doc46@gmail.com";"145525065";"male";"Asian";"2019-04-23 16:20:11";"0000-00-00 00:00:00"
147;"Charlize";"Theron";"";"1961-04-12";1155;"Dictum. Av.";0;"Los Angeles";5;18480;"doc47@gmail.com";"209219898";"female";"Asian";"2019-04-23 16:20:12";"0000-00-00 00:00:00"
148;"Jeffrey";"Dean";"M";"1962-05-13";6060;"Ullamcorper Ave";0;"Houston";45;55156;"doc48@gmail.com";"802930913";"male";"Asian";"2019-04-23 16:20:13";"0000-00-00 00:00:00"
149;"Emma";"Stone";"S";"1963-06-14";9667;"Porttitor Av.";0;"Los Angeles";5;28106;"doc49@gmail.com";"127933111";"female";"";"2019-04-23 16:20:14";"0000-00-00 00:00:00"
150;"Hugh";"Jackmon";"";"1964-07-15";3418;"Non Ave";0;"West Valley City";10;92901;"doc50@gmail.com";"686661019";"male";"Hispanic";"2019-04-23 16:20:15";"0000-00-00 00:00:00"
1078;"De";"Vo";"";"1997-04-10";12;"Main st";0;"Houston";45;77003;"dxvo@uh.edu";"2818188282";"male";"White";"2019-04-23 16:41:58";"0000-00-00 00:00:00"
